timestamp,name,categories,zone,alert,gender,gender_conf,age_bucket,detection_type
2026-07-08 16:37:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:44,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:45,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:46,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:47,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:48,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:49,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:50,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:51,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:52,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:53,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:54,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:55,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:56,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:57,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:58,Unknown,,Crowd1,,,,,person
2026-07-08 16:37:59,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:00,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:01,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:02,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:03,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:04,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:05,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:06,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:07,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:08,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:09,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:10,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:11,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:12,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:13,Unknown,,Crowd1,,,,,person
2026-07-08 16:38:14,Unknown,,Crowd1,,,,,person
